model,window,fold,mse,mae,r2
linear_regression,2,0,0.0006684109504845531,0.01563694173274034,-0.0038315821160261887
linear_regression,2,1,0.0005633787024567407,0.011935435685952117,-0.0009182066118276211
linear_regression,2,2,0.0004651602013409343,0.010463422264407957,-0.004925921896484775
linear_regression,2,3,0.0013673376427849227,0.009525325398821442,-4.58597719417142e-05
linear_regression,2,4,0.001006933998142881,0.011331950843445977,-0.0004992726142722947
linear_regression,3,0,0.0006705701008404063,0.015672925095578823,-0.00592498351985804
linear_regression,3,1,0.0005644714611224209,0.011947576326420347,-0.002829476163021205
linear_regression,3,2,0.00046565417014473166,0.010474319666689167,-0.005947996065899019
linear_regression,3,3,0.001369139144194743,0.00953473873134874,-0.0007419299346438368
linear_regression,3,4,0.0010077973126332864,0.011342625588725619,-0.000722104156510639
linear_regression,4,0,0.0006711144871121368,0.015716981770486155,-0.009673254469301451
linear_regression,4,1,0.0005656208348551602,0.011961014652777253,-0.004370021042940486
linear_regression,4,2,0.00046620304334500943,0.010480771444828438,-0.006115925578350057
linear_regression,4,3,0.0013693786321889306,0.00954061463618552,-0.0004641305100216986
linear_regression,4,4,0.0010081454996958674,0.0113427068049774,-0.0004616344955654661
linear_regression,5,0,0.0006711193912477575,0.015736612997085255,-0.008397864426054502
linear_regression,5,1,0.0005665199749484761,0.011977054293476255,-0.00602036837969
linear_regression,5,2,0.0004668427808388605,0.010493229138011807,-0.00702837676593937
linear_regression,5,3,0.0013727877467847895,0.009568855098093592,-0.0021988212486825365
linear_regression,5,4,0.0010094162407476297,0.011366854909259656,-0.0011941578981977674
