model,window,fold,mse,mae,r2
linear_regression,2,0,3.040719784518129,0.8391096700501427,0.9990912537792904
linear_regression,2,1,3.1062144415073774,0.6993646646573317,0.9993744684395687
linear_regression,2,2,3.355291229717168,0.7231253119303855,0.9995087532271084
linear_regression,2,3,17.353448625820764,0.7977806612165917,0.9981470300835429
linear_regression,2,4,8.714068609509967,0.9503688328071259,0.998961175822619
linear_regression,3,0,3.050050501011518,0.8414069822272019,0.9990880564454114
linear_regression,3,1,3.105630998562583,0.7003754800309409,0.999375066678554
linear_regression,3,2,3.368006936704886,0.725126065120464,0.999507823319229
linear_regression,3,3,17.377974288260653,0.7989637888886726,0.9981431953034812
linear_regression,3,4,8.722636507725632,0.9509029326540138,0.9989606447280036
linear_regression,4,0,3.067877636263952,0.8444319967427796,0.9990835282745727
linear_regression,4,1,3.1126417370014403,0.7021518982283382,0.9993741537968087
linear_regression,4,2,3.3827518808558654,0.7266297695403104,0.9995055941624188
linear_regression,4,3,17.389954024373655,0.7994616591160412,0.9981429248017638
linear_regression,4,4,8.731844830966871,0.9525578980146675,0.9989596206383434
linear_regression,5,0,3.091161746769403,0.8485747527682187,0.9990760218094645
linear_regression,5,1,3.120727490525755,0.702995924721677,0.9993731063526635
linear_regression,5,2,3.396909312194341,0.7276246446035209,0.9995047326402225
linear_regression,5,3,17.40093904745797,0.7995347148307629,0.9981398225072444
linear_regression,5,4,8.738092878470292,0.9527819669916454,0.9989591414595468
